image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
105,0.3072,0.0124,38.1044,0.693,0.304,0.0,45.1225,0.0024,0.0013,1.1001
106,0.4604,0.0095,40.482,0.7681,0.3083,0.0,43.9281,0.0021,0.002,1.1186
107,0.1472,0.0138,37.207,0.5608,0.3425,0.0,45.1982,0.001,0.0001,1.1006
108,0.299,0.0095,40.4244,0.7536,0.3309,0.0,43.9626,0.0019,0.0006,1.1228
109,0.0856,0.0152,36.3624,0.5528,0.3582,0.0,45.9447,0.0019,0.0004,1.0996
110,0.3224,0.0098,40.1701,0.7076,0.3596,0.0,43.9434,0.0015,0.0003,1.1193
111,0.2246,0.0139,37.1669,0.6352,0.3264,0.0,45.5085,0.002,0.0011,1.1223
112,0.3336,0.0085,41.4054,0.7807,0.3091,0.0,43.8954,0.002,0.0018,1.1005
113,0.1616,0.0105,39.5864,0.6667,0.3198,0.0,45.1435,0.002,0.001,1.1208
114,0.2841,0.0146,36.7186,0.6108,0.2965,0.0,44.7171,0.0014,0.0,1.1027
115,0.3459,0.0083,41.6568,0.7781,0.3615,0.0,43.99,0.0018,0.0009,1.1238
116,0.0952,0.0136,37.301,0.583,0.3179,0.0,45.6171,0.0018,0.0012,1.0993
117,0.1702,0.0118,38.5508,0.639,0.3476,0.0,45.0221,0.0018,0.0009,1.1095
118,0.2769,0.0107,39.4065,0.7146,0.3196,0.0,44.1614,0.0018,0.0004,1.1011
119,0.378,0.0081,41.8304,0.7898,0.3304,0.0,44.1227,0.0021,0.0013,1.1261
120,0.143,0.0116,38.725,0.6654,0.3033,0.0,45.8273,0.0024,0.0018,1.1004
121,0.4399,0.0101,39.953,0.7576,0.3163,0.0,43.1765,0.002,0.0006,1.1152
122,0.4096,0.0094,40.5688,0.7632,0.3292,0.0,43.3179,0.0018,0.0009,1.1021
123,0.2177,0.0119,38.4701,0.6878,0.3333,0.0,45.0974,0.0021,0.0016,1.1179
124,0.2151,0.01,39.9788,0.7268,0.3191,0.0,45.6653,0.0025,0.0012,1.1001
125,0.3559,0.0084,41.5656,0.7861,0.3503,0.0,44.1067,0.0021,0.0005,1.1243
126,0.2427,0.0129,37.8016,0.6729,0.3226,0.0,44.9488,0.0019,0.0007,1.0994
127,0.3661,0.009,40.9561,0.7886,0.3334,0.0,44.0778,0.0022,0.002,1.1233
128,0.4128,0.0076,42.4119,0.78,0.333,0.0,42.3254,0.0013,0.0001,1.1018
129,0.1609,0.0126,37.9854,0.6201,0.3312,0.0,45.1995,0.0017,0.0001,1.1206
130,0.1264,0.0148,36.5957,0.5092,0.3628,0.0,45.448,0.0011,-0.0004,1.1043
131,0.1997,0.0129,37.7861,0.6905,0.2835,0.0,45.6225,0.0025,-0.0001,1.1243
132,0.404,0.0096,40.3235,0.7821,0.281,0.0,44.3157,0.0024,0.0001,1.1002
133,0.2915,0.0086,41.3224,0.7604,0.3511,0.0,44.1599,0.002,0.0026,1.1261
134,0.2838,0.0103,39.7758,0.7202,0.326,0.0,43.9281,0.0016,0.0004,1.0995
135,0.162,0.011,39.1722,0.6337,0.3272,0.0,45.1007,0.002,0.0018,1.1133
136,0.2593,0.0094,40.5521,0.7174,0.3451,0.0,44.6032,0.0019,0.0014,1.1089
137,0.2188,0.0125,38.0543,0.6262,0.3222,0.0,45.2742,0.0019,0.0011,1.1215
138,0.1388,0.0138,37.226,0.5586,0.312,0.0,45.3693,0.0015,0.0008,1.0998
139,0.2945,0.0088,41.0772,0.7638,0.3432,0.0,44.2922,0.0021,0.0014,1.1161
140,0.1824,0.0151,36.4336,0.6179,0.3271,0.0,45.3898,0.0018,0.0003,1.105
141,0.1247,0.0125,38.0697,0.5784,0.3276,0.0,44.7893,0.0012,-0.0003,1.1132
142,0.1988,0.0108,39.3462,0.6729,0.3336,0.0,45.6091,0.0024,0.0017,1.1023
143,0.3601,0.0091,40.8128,0.7482,0.3609,0.0,43.504,0.0015,0.0003,1.1258
144,0.2187,0.012,38.4073,0.6169,0.3369,0.0,44.3733,0.0012,-0.0001,1.1005
145,0.268,0.0098,40.2193,0.6976,0.3576,0.0,43.6686,0.0011,0.0005,1.1177
146,0.1291,0.0109,39.2485,0.6714,0.3428,0.0,44.9239,0.0018,0.0013,1.1025
147,0.1418,0.0152,36.3785,0.5441,0.3531,0.0,45.6117,0.0014,0.0006,1.1131
148,0.1349,0.0131,37.6607,0.6233,0.3334,0.0,45.7513,0.0022,0.0005,1.1017
149,0.1552,0.0119,38.5139,0.6399,0.3051,0.0,45.5799,0.0022,0.0008,1.1135
150,0.4438,0.0092,40.7641,0.7903,0.3051,0.0,43.8495,0.0021,0.0021,1.1012
151,0.2658,0.0127,37.9286,0.6821,0.3546,0.0,44.6557,0.0019,0.0008,1.1126
152,0.1631,0.0141,36.9986,0.5358,0.3438,0.0,45.367,0.0011,0.0002,1.0999
153,0.1687,0.0138,37.2227,0.5871,0.3533,0.0,45.4104,0.0014,0.001,1.1203
154,0.2273,0.01,40.0257,0.7182,0.2926,0.0,43.946,0.0019,0.0002,1.1089
155,0.2941,0.0099,40.121,0.7068,0.3697,0.0,43.1166,0.0008,0.0004,1.1003
156,0.1727,0.0104,39.694,0.6753,0.3422,0.0,44.7719,0.0018,0.001,1.1201
157,0.2682,0.0108,39.3671,0.6781,0.3368,0.0,44.5262,0.0017,0.0012,1.1013
158,0.1878,0.0122,38.3025,0.6442,0.3399,0.0,44.8623,0.0017,0.0008,1.1209
159,0.214,0.0119,38.5204,0.6514,0.3356,0.0,45.152,0.002,0.0017,1.1189
160,0.192,0.0102,39.8094,0.6863,0.3027,0.0,44.6112,0.002,0.0004,1.1017
161,0.1476,0.0125,38.0311,0.6065,0.311,0.0,45.6169,0.0019,0.0005,1.1232
162,0.3661,0.0111,39.1062,0.7214,0.3076,0.0,45.1156,0.0023,0.0009,1.0995
163,0.4085,0.0093,40.6475,0.7614,0.3277,0.0,43.4639,0.0019,0.0005,1.1171
164,0.0851,0.0139,37.1425,0.5369,0.3747,0.0,45.7892,0.0014,0.0009,1.1003
165,0.1671,0.0128,37.8508,0.6036,0.3288,0.0,45.6452,0.002,0.0012,1.1241
166,0.2105,0.0142,36.9481,0.6457,0.3107,0.0,45.8284,0.0023,0.0008,1.0988
167,0.0764,0.0146,36.693,0.5146,0.3455,0.0,45.3427,0.0011,0.0005,1.1282
168,0.1806,0.0122,38.298,0.6252,0.3158,0.0,45.5289,0.0021,0.0012,1.1132
169,0.2536,0.0099,40.1056,0.718,0.3191,0.0,44.4335,0.002,0.0016,1.1015
170,0.1798,0.0104,39.6912,0.6941,0.377,0.0,44.5056,0.0018,0.0014,1.1235
171,0.168,0.014,37.0738,0.6065,0.3322,0.0,45.8754,0.002,0.0009,1.1013
172,0.3498,0.0095,40.424,0.7316,0.3646,0.0,43.8067,0.0015,0.0018,1.1225
173,0.2959,0.0081,41.878,0.7742,0.3005,0.0,44.2039,0.0023,0.0001,1.1008
174,0.1581,0.0145,36.7922,0.5837,0.2998,0.0,45.5051,0.0016,0.0008,1.1263
175,0.1337,0.016,35.9053,0.5625,0.3202,0.0,45.7269,0.0017,-0.0,1.1032
176,0.2214,0.0134,37.4695,0.6595,0.3128,0.0,44.972,0.0022,0.0015,1.1193
177,0.26,0.0104,39.6419,0.6746,0.3524,0.0,44.482,0.0016,0.0011,1.1179
178,0.2468,0.01,39.9951,0.7209,0.3388,0.0,44.3653,0.002,0.0003,1.0994
179,0.135,0.013,37.7317,0.5962,0.3039,0.0,45.2203,0.0017,-0.0001,1.1162
180,0.1645,0.0123,38.2099,0.6117,0.3526,0.0,44.9998,0.0015,0.0012,1.1009
181,0.3989,0.0083,41.6591,0.7832,0.3322,0.0,43.8402,0.0021,0.0018,1.1198
182,0.2101,0.0103,39.741,0.6926,0.3024,0.0,44.7191,0.0022,0.0002,1.1005
183,0.1815,0.0135,37.4019,0.6205,0.3266,0.0,44.8431,0.0017,0.001,1.1162
184,0.4384,0.0077,42.2742,0.8201,0.3324,0.0,43.2546,0.002,0.0012,1.1009
185,0.2347,0.0106,39.4722,0.6762,0.3447,0.0,45.0296,0.0021,0.0007,1.116
186,0.1146,0.0111,39.1064,0.6221,0.3613,0.0,45.1156,0.0017,0.0007,1.1013
187,0.1544,0.0119,38.4823,0.6123,0.3701,0.0,45.3581,0.0017,0.0013,1.1132
188,0.2819,0.0104,39.6226,0.7324,0.3091,0.0,44.5378,0.0022,0.0009,1.1174
189,0.1436,0.0118,38.5662,0.627,0.3491,0.0,45.3561,0.0019,0.0001,1.1079
190,0.23,0.0109,39.2653,0.6758,0.3564,0.0,44.3535,0.0015,0.001,1.1218
191,0.4134,0.0091,40.8329,0.7708,0.3073,0.0,43.4315,0.0018,0.0013,1.1029
192,0.2032,0.0111,39.1094,0.6272,0.3503,0.0,43.9845,0.0008,-0.0003,1.1241
193,0.335,0.0089,41.0209,0.7568,0.3386,0.0,43.643,0.0018,-0.0002,1.0999
194,0.244,0.0112,38.9937,0.7015,0.3318,0.0,44.4201,0.0019,0.0013,1.1161
195,0.1176,0.0138,37.2096,0.6012,0.3308,0.0,45.668,0.0018,0.0004,1.1044
196,0.1972,0.0119,38.4617,0.6463,0.3338,0.0,45.251,0.002,0.0005,1.1139
197,0.1297,0.0137,37.2377,0.6062,0.2829,0.0,46.1202,0.0023,0.0009,1.1195
198,0.3394,0.0134,37.4852,0.706,0.355,0.0,44.0359,0.0017,0.0003,1.1069
199,0.1254,0.0137,37.2678,0.5982,0.3478,0.0,45.5845,0.0018,0.0009,1.1155
