image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
65,0.6087,0.0059,44.5262,0.864,0.4079,0.0,41.9673,0.001,0.0055,1.0945
66,0.5028,0.0082,41.696,0.8083,0.3727,0.0,43.0655,0.0016,0.0049,1.1223
67,0.5821,0.0077,42.3158,0.8413,0.3672,0.0,43.1191,0.0017,0.0088,1.1084
68,0.4129,0.0069,43.1985,0.811,0.3711,0.0,43.399,0.0013,0.0029,1.0947
69,0.4061,0.0059,44.5588,0.8481,0.3628,0.0,42.8917,0.0013,0.0036,1.1124
70,0.5416,0.0075,42.5554,0.8034,0.4159,0.0,41.8238,0.0007,0.0034,1.1114
71,0.5402,0.0059,44.6368,0.8583,0.3936,0.0,42.2338,0.001,0.0037,1.0938
72,0.5237,0.0061,44.3419,0.8548,0.3989,0.0,42.3034,0.001,0.0036,1.1048
73,0.365,0.0101,39.9133,0.718,0.3782,0.0,43.3227,0.0009,0.0023,1.0946
74,0.5755,0.0062,44.097,0.8526,0.399,0.0,42.473,0.0012,0.0037,1.1171
75,0.4119,0.0063,44.0146,0.8252,0.3705,0.0,43.4048,0.0016,0.0048,1.0942
76,0.669,0.0059,44.603,0.8788,0.3955,0.0,41.7681,0.001,0.0044,1.1061
77,0.4154,0.0086,41.3569,0.7647,0.4087,0.0,43.4151,0.001,0.0085,1.0943
78,0.5852,0.0061,44.2967,0.8619,0.4023,0.0,42.5735,0.0012,0.012,1.113
79,0.5338,0.0068,43.3927,0.8314,0.3644,0.0,42.6176,0.0011,0.0066,1.0938
80,0.6341,0.007,43.068,0.8354,0.3453,0.0,42.1138,0.001,0.0033,1.1148
81,0.6799,0.006,44.3663,0.8703,0.388,0.0,42.2873,0.0012,0.0101,1.0952
82,0.5976,0.0069,43.266,0.8429,0.383,0.0,42.1831,0.001,0.0025,1.1152
83,0.439,0.0067,43.4307,0.7972,0.3661,0.0,42.411,0.0007,0.0045,1.1091
84,0.6274,0.0079,41.9994,0.815,0.401,0.0,41.7885,0.0009,0.0049,1.0951
